configuration_10,objective,dual_bound,gap,node_count,time,feasible,is_optimal
T1500x300_10_1_configuration_10_out,51169.81793535115,49905.58729925323,0.024706568971872386,1.0,180.03566908836365,True,False
T1500x300_10_2_configuration_10_out,51719.97917903504,51225.56583640774,0.009559426559625113,5.0,180.08194708824158,True,False
T1500x300_10_3_configuration_10_out,51261.27371755362,50364.98850553662,0.017484645757253375,1.0,180.0301411151886,True,False
T1500x300_10_4_configuration_10_out,51281.64547611487,50254.709536561706,0.02002540928667094,2.0,180.09270691871643,True,False
T1500x300_10_5_configuration_10_out,51099.70550700122,50357.68908710711,0.014520952959161074,1.0,180.03059101104736,True,False
,,,,,,,
configuration_11,objective,dual_bound,gap,node_count,time,feasible,is_optimal
T1500x300_10_1_configuration_11_out,51169.81793535115,49905.582733518146,0.024706658198984575,1.0,180.06206798553467,True,False
T1500x300_10_2_configuration_11_out,51719.97917903504,51225.56583640774,0.009559426559625113,5.0,180.09232902526855,True,False
T1500x300_10_3_configuration_11_out,51261.27371755362,50364.98850553662,0.017484645757253375,1.0,180.0342080593109,True,False
T1500x300_10_4_configuration_11_out,51281.64547611487,50254.709536561706,0.02002540928667094,2.0,180.08656001091003,True,False
T1500x300_10_5_configuration_11_out,51099.70550700122,50357.68908710711,0.014520952959161074,1.0,180.03123688697815,True,False
,,,,,,,
configuration_12,objective,dual_bound,gap,node_count,time,feasible,is_optimal
T1500x300_10_1_configuration_12_out,51169.81793535115,49905.58729925323,0.024706568971872386,1.0,180.03790283203125,True,False
T1500x300_10_2_configuration_12_out,51719.97917903504,51225.56583640774,0.009559426559625113,5.0,180.08143591880798,True,False
T1500x300_10_3_configuration_12_out,51261.27371755362,50364.98850553662,0.017484645757253375,1.0,180.03400683403015,True,False
T1500x300_10_4_configuration_12_out,51281.64547611487,50254.709536561706,0.02002540928667094,2.0,180.09076189994812,True,False
T1500x300_10_5_configuration_12_out,51099.70550700122,50357.12769717832,0.014531939126756668,1.0,180.02877283096313,True,False
,,,,,,,
configuration_13,objective,dual_bound,gap,node_count,time,feasible,is_optimal
T1500x300_10_1_configuration_13_out,51145.47845522776,49905.70408227035,0.02424015593172481,1.0,180.0310080051422,True,False
T1500x300_10_2_configuration_13_out,51722.860329035044,51223.488822412386,0.00965475427008328,7.0,180.10298109054565,True,False
T1500x300_10_3_configuration_13_out,51260.66773893293,50364.48231168661,0.017482905837484533,1.0,180.03816604614258,True,False
T1500x300_10_4_configuration_13_out,51245.32967338744,50255.07660763295,0.019323771982068975,2.0,180.0865249633789,True,False
T1500x300_10_5_configuration_13_out,51099.70550700122,50357.24838776371,0.014529577262158956,1.0,180.02755093574524,True,False
,,,,,,,
configuration_14,objective,dual_bound,gap,node_count,time,feasible,is_optimal
T1500x300_10_1_configuration_14_out,51145.47845522776,49905.70408227035,0.02424015593172481,1.0,180.05448698997498,True,False
T1500x300_10_2_configuration_14_out,51722.860329035044,51223.488822412386,0.00965475427008328,7.0,180.1030809879303,True,False
T1500x300_10_3_configuration_14_out,51260.66773893293,50364.48231168661,0.017482905837484533,1.0,180.03176593780518,True,False
T1500x300_10_4_configuration_14_out,51245.32967338744,50255.07660763295,0.019323771982068975,2.0,180.08352088928223,True,False
T1500x300_10_5_configuration_14_out,51099.70550700122,50357.24838776371,0.014529577262158956,1.0,180.03215885162354,True,False
,,,,,,,
configuration_15,objective,dual_bound,gap,node_count,time,feasible,is_optimal
T1500x300_10_1_configuration_15_out,51145.47845522776,49905.71123460338,0.02424001608880517,1.0,180.0352599620819,True,False
T1500x300_10_2_configuration_15_out,51722.860329035044,51223.488822412386,0.00965475427008328,7.0,180.1098759174347,True,False
T1500x300_10_3_configuration_15_out,51260.66773893293,50364.48231168661,0.017482905837484533,1.0,180.0299379825592,True,False
T1500x300_10_4_configuration_15_out,51245.32967338744,50255.07660763295,0.019323771982068975,2.0,180.08006882667542,True,False
T1500x300_10_5_configuration_15_out,51099.70550700122,50357.24838776371,0.014529577262158956,1.0,180.04506182670593,True,False
,,,,,,,
configuration_16,objective,dual_bound,gap,node_count,time,feasible,is_optimal
T1500x300_10_1_configuration_16_out,51169.81793535115,49905.58729925323,0.024706568971872386,1.0,180.03029704093933,True,False
T1500x300_10_2_configuration_16_out,51719.97917903504,51199.560544344815,0.010062235966661098,5.0,180.0979199409485,True,False
T1500x300_10_3_configuration_16_out,51261.27371755362,50364.98850553662,0.017484645757253375,1.0,180.02959489822388,True,False
T1500x300_10_4_configuration_16_out,51281.64547611487,50258.805804044714,0.019945531438661637,3.0,180.0988211631775,True,False
T1500x300_10_5_configuration_16_out,51099.70550700122,50357.68908710711,0.014520952959161074,1.0,180.02814412117004,True,False
,,,,,,,
configuration_17,objective,dual_bound,gap,node_count,time,feasible,is_optimal
T1500x300_10_1_configuration_17_out,51169.81793535115,49905.58729925323,0.024706568971872386,1.0,180.0325059890747,True,False
T1500x300_10_2_configuration_17_out,51719.97917903504,51199.560544344815,0.010062235966661098,5.0,180.08918499946594,True,False
T1500x300_10_3_configuration_17_out,51261.27371755362,50364.98850553662,0.017484645757253375,1.0,180.03631901741028,True,False
T1500x300_10_4_configuration_17_out,51281.64547611487,50258.805804044714,0.019945531438661637,3.0,180.0992729663849,True,False
T1500x300_10_5_configuration_17_out,51099.70550700122,50357.68908710711,0.014520952959161074,1.0,180.02507996559143,True,False
,,,,,,,
configuration_18,objective,dual_bound,gap,node_count,time,feasible,is_optimal
T1500x300_10_1_configuration_18_out,51169.81793535115,49905.58729925323,0.024706568971872386,1.0,180.03507900238037,True,False
T1500x300_10_2_configuration_18_out,51719.97917903504,51199.560544344815,0.010062235966661098,5.0,180.09109902381897,True,False
T1500x300_10_3_configuration_18_out,51261.27371755362,50364.98850553662,0.017484645757253375,1.0,180.03123307228088,True,False
T1500x300_10_4_configuration_18_out,51281.64547611487,50258.805804044714,0.019945531438661637,3.0,180.09524607658386,True,False
T1500x300_10_5_configuration_18_out,51099.70550700122,50357.68908710711,0.014520952959161074,1.0,180.02747106552124,True,False
,,,,,,,
configuration_19,objective,dual_bound,gap,node_count,time,feasible,is_optimal
T1500x300_10_1_configuration_19_out,51145.47845522776,49905.71123460338,0.02424001608880517,1.0,180.03558611869812,True,False
T1500x300_10_2_configuration_19_out,51722.860329035044,51198.39564923839,0.01013990093471799,3.0,180.30076003074646,True,False
T1500x300_10_3_configuration_19_out,51260.66773893293,50364.48231168661,0.017482905837484533,1.0,180.02683901786804,True,False
T1500x300_10_4_configuration_19_out,51245.32967338744,50255.478470681475,0.01931593003723061,1.0,180.35856699943542,True,False
T1500x300_10_5_configuration_19_out,51099.70550700122,50357.24838776371,0.014529577262158956,1.0,180.02789688110352,True,False
,,,,,,,
configuration_1,objective,dual_bound,gap,node_count,time,feasible,is_optimal
T1500x300_10_1_configuration_1_out,51192.48071305093,49905.61658777545,0.025137756704714586,1.0,180.03885006904602,True,False
T1500x300_10_2_configuration_1_out,51722.860329035044,51209.97428254691,0.009916041828031658,6.0,180.12833786010742,True,False
T1500x300_10_3_configuration_1_out,51260.66773893293,50364.9172984312,0.017474420057572184,1.0,180.0546760559082,True,False
T1500x300_10_4_configuration_1_out,51281.64547611487,50255.605952790436,0.020007929031885672,1.0,180.0862739086151,True,False
T1500x300_10_5_configuration_1_out,51099.70550700122,50356.669973572934,0.014540896587486567,1.0,180.03912091255188,True,False
,,,,,,,
configuration_20,objective,dual_bound,gap,node_count,time,feasible,is_optimal
T1500x300_10_1_configuration_20_out,51145.47845522776,49905.70408227035,0.02424015593172481,1.0,180.03140997886658,True,False
T1500x300_10_2_configuration_20_out,51722.860329035044,51198.39564923839,0.01013990093471799,3.0,180.2492640018463,True,False
T1500x300_10_3_configuration_20_out,51260.66773893293,50364.48231168661,0.017482905837484533,1.0,180.0320839881897,True,False
T1500x300_10_4_configuration_20_out,51245.32967338744,50255.478470681475,0.01931593003723061,1.0,180.353590965271,True,False
T1500x300_10_5_configuration_20_out,51099.70550700122,50357.24838776371,0.014529577262158956,1.0,180.02876591682434,True,False
,,,,,,,
configuration_21,objective,dual_bound,gap,node_count,time,feasible,is_optimal
T1500x300_10_1_configuration_21_out,51145.47845522776,49905.70408227035,0.02424015593172481,1.0,180.0277328491211,True,False
T1500x300_10_2_configuration_21_out,51722.860329035044,51198.39564923839,0.01013990093471799,3.0,180.13673210144043,True,False
T1500x300_10_3_configuration_21_out,51260.66773893293,50364.48231168661,0.017482905837484533,1.0,180.02682399749756,True,False
T1500x300_10_4_configuration_21_out,51245.32967338744,50255.478470681475,0.01931593003723061,1.0,180.13616800308228,True,False
T1500x300_10_5_configuration_21_out,51099.70550700122,50357.24838776371,0.014529577262158956,1.0,180.02496600151062,True,False
,,,,,,,
configuration_22,objective,dual_bound,gap,node_count,time,feasible,is_optimal
T1500x300_10_1_configuration_22_out,51169.81793535115,49905.58729925323,0.024706568971872386,1.0,180.03595495224,True,False
T1500x300_10_2_configuration_22_out,51719.97917903504,51190.492487081945,0.010237565837376622,1.0,180.09139895439148,True,False
T1500x300_10_3_configuration_22_out,51261.27371755362,50364.98850553662,0.017484645757253375,1.0,180.0289740562439,True,False
T1500x300_10_4_configuration_22_out,51281.64547611487,50255.14133266479,0.02001698919603083,1.0,180.0995650291443,True,False
T1500x300_10_5_configuration_22_out,51099.70550700122,50357.68908710711,0.014520952959161074,1.0,180.03352212905884,True,False
,,,,,,,
configuration_23,objective,dual_bound,gap,node_count,time,feasible,is_optimal
T1500x300_10_1_configuration_23_out,51169.81793535115,49905.58729925323,0.024706568971872386,1.0,180.03932285308838,True,False
T1500x300_10_2_configuration_23_out,51719.97917903504,51190.492487081945,0.010237565837376622,1.0,180.0911111831665,True,False
T1500x300_10_3_configuration_23_out,51261.27371755362,50364.98850553662,0.017484645757253375,1.0,180.03237795829773,True,False
T1500x300_10_4_configuration_23_out,51281.64547611487,50255.14133266479,0.02001698919603083,1.0,180.1005392074585,True,False
T1500x300_10_5_configuration_23_out,51099.70550700122,50357.68908710711,0.014520952959161074,1.0,180.0309329032898,True,False
,,,,,,,
configuration_24,objective,dual_bound,gap,node_count,time,feasible,is_optimal
T1500x300_10_1_configuration_24_out,51169.81793535115,49905.58729925323,0.024706568971872386,1.0,180.03292608261108,True,False
T1500x300_10_2_configuration_24_out,51719.97917903504,51190.492487081945,0.010237565837376622,1.0,180.08995485305786,True,False
T1500x300_10_3_configuration_24_out,51261.27371755362,50364.98850553662,0.017484645757253375,1.0,180.03348016738892,True,False
T1500x300_10_4_configuration_24_out,51281.64547611487,50255.14133266479,0.02001698919603083,1.0,180.09603691101074,True,False
T1500x300_10_5_configuration_24_out,51099.70550700122,50357.12769717832,0.014531939126756668,1.0,180.02926206588745,True,False
,,,,,,,
configuration_2,objective,dual_bound,gap,node_count,time,feasible,is_optimal
T1500x300_10_1_configuration_2_out,51192.48071305093,49905.90114113867,0.025132198205512022,1.0,180.05539298057556,True,False
T1500x300_10_2_configuration_2_out,51722.860329035044,51195.79478337662,0.010190185583424952,5.0,180.09854793548584,True,False
T1500x300_10_3_configuration_2_out,51260.66773893293,50364.9172984312,0.017474420057572184,1.0,180.0610179901123,True,False
T1500x300_10_4_configuration_2_out,51281.64547611487,50255.605952790436,0.020007929031885672,1.0,180.10463404655457,True,False
T1500x300_10_5_configuration_2_out,51099.70550700122,50356.669973572934,0.014540896587486567,1.0,180.07613801956177,True,False
,,,,,,,
configuration_3,objective,dual_bound,gap,node_count,time,feasible,is_optimal
T1500x300_10_1_configuration_3_out,51192.48071305093,49905.905885623564,0.025132105526180393,1.0,180.037339925766,True,False
T1500x300_10_2_configuration_3_out,51722.860329035044,51195.79478337662,0.010190185583424952,5.0,180.09441113471985,True,False
T1500x300_10_3_configuration_3_out,51260.66773893293,50364.9172984312,0.017474420057572184,1.0,180.04882097244263,True,False
T1500x300_10_4_configuration_3_out,51281.64547611487,50255.605952790436,0.020007929031885672,1.0,180.0938241481781,True,False
T1500x300_10_5_configuration_3_out,51099.70550700122,50356.669973572934,0.014540896587486567,1.0,180.02715706825256,True,False
,,,,,,,
configuration_4,objective,dual_bound,gap,node_count,time,feasible,is_optimal
T1500x300_10_1_configuration_4_out,51180.82288764793,49905.97599269648,0.024908683038371047,1.0,180.02751994132996,True,False
T1500x300_10_2_configuration_4_out,51719.97917903504,51220.86247398431,0.00965036554487007,3.0,180.08066296577454,True,False
T1500x300_10_3_configuration_4_out,51261.27371755362,50365.05004572955,0.017483445237085445,1.0,180.0306499004364,True,False
T1500x300_10_4_configuration_4_out,51043.859916613284,50256.37127288449,0.015427686013856377,1.0,180.0442600250244,True,False
T1500x300_10_5_configuration_4_out,51099.70550700122,50357.13218855536,0.014531851232374592,1.0,180.061842918396,True,False
,,,,,,,
configuration_5,objective,dual_bound,gap,node_count,time,feasible,is_optimal
T1500x300_10_1_configuration_5_out,51180.82288764793,49905.97599269648,0.024908683038371047,1.0,180.0319221019745,True,False
T1500x300_10_2_configuration_5_out,51719.97917903504,51220.86247398431,0.00965036554487007,3.0,180.1039559841156,True,False
T1500x300_10_3_configuration_5_out,51261.27371755362,50365.05004572955,0.017483445237085445,1.0,180.0272660255432,True,False
T1500x300_10_4_configuration_5_out,51043.859916613284,50256.37127288449,0.015427686013856377,1.0,180.04294800758362,True,False
T1500x300_10_5_configuration_5_out,51099.70550700122,50357.13218855536,0.014531851232374592,1.0,180.06211614608765,True,False
,,,,,,,
configuration_6,objective,dual_bound,gap,node_count,time,feasible,is_optimal
T1500x300_10_1_configuration_6_out,51180.82288764793,49905.97599269648,0.024908683038371047,1.0,180.0342230796814,True,False
T1500x300_10_2_configuration_6_out,51719.97917903504,51220.86247398431,0.00965036554487007,3.0,180.08801794052124,True,False
T1500x300_10_3_configuration_6_out,51261.27371755362,50365.05004572955,0.017483445237085445,1.0,180.027734041214,True,False
T1500x300_10_4_configuration_6_out,51056.642116613286,50256.37127288449,0.015674176964105283,1.0,180.0408890247345,True,False
T1500x300_10_5_configuration_6_out,51099.70550700122,50357.13218855536,0.014531851232374592,1.0,180.0389699935913,True,False
,,,,,,,
configuration_7,objective,dual_bound,gap,node_count,time,feasible,is_optimal
T1500x300_10_1_configuration_7_out,51145.47845522776,49905.71123460338,0.02424001608880517,1.0,180.0401771068573,True,False
T1500x300_10_2_configuration_7_out,51722.860329035044,51209.97428254691,0.009916041828031658,7.0,180.11028718948364,True,False
T1500x300_10_3_configuration_7_out,51260.66773893293,50364.48231168661,0.017482905837484533,1.0,180.0300269126892,True,False
T1500x300_10_4_configuration_7_out,51245.32967338744,50255.05611629567,0.019324171849479536,1.0,180.09333610534668,True,False
T1500x300_10_5_configuration_7_out,51099.70550700122,50357.24838776371,0.014529577262158956,1.0,180.03206300735474,True,False
,,,,,,,
configuration_8,objective,dual_bound,gap,node_count,time,feasible,is_optimal
T1500x300_10_1_configuration_8_out,51145.47845522776,49905.70408227035,0.02424015593172481,1.0,180.02875208854675,True,False
T1500x300_10_2_configuration_8_out,51722.860329035044,51209.97428254691,0.009916041828031658,7.0,180.11146998405457,True,False
T1500x300_10_3_configuration_8_out,51260.66773893293,50364.48231168661,0.017482905837484533,1.0,180.02937483787537,True,False
T1500x300_10_4_configuration_8_out,51245.32967338744,50255.05611629567,0.019324171849479536,1.0,180.0910451412201,True,False
T1500x300_10_5_configuration_8_out,51099.70550700122,50357.09504157577,0.01453257818332715,1.0,180.03091287612915,True,False
,,,,,,,
configuration_9,objective,dual_bound,gap,node_count,time,feasible,is_optimal
T1500x300_10_1_configuration_9_out,51145.47845522776,49905.71123460338,0.02424001608880517,1.0,180.03427386283875,True,False
T1500x300_10_2_configuration_9_out,51722.860329035044,51209.97428254691,0.009916041828031658,7.0,180.11347198486328,True,False
T1500x300_10_3_configuration_9_out,51260.66773893293,50364.48231168661,0.017482905837484533,1.0,180.0292570590973,True,False
T1500x300_10_4_configuration_9_out,51245.32967338744,50255.05611629567,0.019324171849479536,1.0,180.08772206306458,True,False
T1500x300_10_5_configuration_9_out,51099.70550700122,50357.24838776371,0.014529577262158956,1.0,180.03008699417114,True,False
,,,,,,,
configuration_std_no_pre,objective,dual_bound,gap,node_count,time,feasible,is_optimal
T1500x300_10_1_configuration_std_no_pre_out,51151.514794476236,49905.602970718755,0.02435728108470412,1.0,180.02810382843018,True,False
T1500x300_10_2_configuration_std_no_pre_out,51718.6212646653,51190.08817585491,0.010219396339003073,2.0,180.10496592521667,True,False
T1500x300_10_3_configuration_std_no_pre_out,51308.62249060737,50364.9145069893,0.018392775674124735,1.0,180.0239999294281,True,False
T1500x300_10_4_configuration_std_no_pre_out,51245.329673387445,50255.397864150655,0.01931750299092872,1.0,180.06188988685608,True,False
T1500x300_10_5_configuration_std_no_pre_out,51099.70550700122,50356.54167134366,0.014543407408791785,1.0,180.02919483184814,True,False
,,,,,,,
config_std,objective,dual_bound,gap,node_count,time,feasible,is_optimal
T1500x300_10_1_config_std_out,51151.514794476236,49905.44887505366,0.02436029361846216,1.0,180.04088497161865,True,False
T1500x300_10_2_config_std_out,51718.77210752244,51225.70072130342,0.009533702486090433,3.0,180.09843397140503,True,False
T1500x300_10_3_config_std_out,51308.62249060737,50364.73749460122,0.018396225628138023,1.0,180.06388783454895,True,False
T1500x300_10_4_config_std_out,51245.329673387445,50255.07059756175,0.019323889262438484,1.0,180.04534816741943,True,False
T1500x300_10_5_config_std_out,51099.70550700122,50356.880351417596,0.014536779580498475,1.0,180.04527401924133,True,False
,,,,,,,
config_linear,objective,dual_bound,gap,node_count,time,feasible,is_optimal
T1500x300_10_1_out_linear,49876.28912734978,49876.28912734978,-,0.0,33.62103796005249,True,True
T1500x300_10_2_out_linear,51177.85943640969,51177.85943640969,-,0.0,33.662473917007446,True,True
T1500x300_10_3_out_linear,50337.03011917845,50337.03011917845,-,0.0,33.97291803359985,True,True
T1500x300_10_4_out_linear,50238.67194124047,50238.67194124047,-,0.0,36.16645908355713,True,True
T1500x300_10_5_out_linear,50317.087785069154,50317.087785069154,-,0.0,48.72318696975708,True,True
